season,contestant,age,judge_share_mean,weeks
1,Evander Holyfield,42.0,0.11917199438640255,2
1,Joey McIntyre,32.0,0.22667784281240072,4
1,John O'Hurley,50.0,0.3069655709396037,5
1,Kelly Monaco,29.0,0.28954454703008387,5
1,Rachel Hunter,35.0,0.23845641891357452,3
1,Trista Sutter,32.0,0.1570247933884297,1
2,Drew Lachey,29.0,0.20018704680181554,8
2,George Hamilton,66.0,0.1313284889616562,6
2,Giselle Fernandez,44.0,0.11960927960927957,3
2,Jerry Rice,43.0,0.16517795223782084,8
2,Kenny Mayne,46.0,0.0666666666666666,1
2,Lisa Rinna,42.0,0.16110426444239367,7
2,Master P,35.0,0.06727361246348584,4
2,Stacy Keibler,26.0,0.20056213646976576,8
2,Tatum O'Neal,42.0,0.10147435897435896,2
2,Tia Carrere,39.0,0.13186889155218434,5
3,Emmitt Smith,37.0,0.2079863412514934,9
3,Harry Hamlin,54.0,0.09259107343602828,3
3,Jerry Springer,62.0,0.11226797261534242,6
3,Joey Lawrence,30.0,0.17475747541497427,8
3,Mario Lopez,32.0,0.21311895536984887,9
3,Monique Coleman,25.0,0.14951479433777112,7
3,Sara Evans,35.0,0.10328775955201923,5
3,Shanna Moakler,31.0,0.0902789171452009,2
3,Tucker Carlson,37.0,0.0566037735849056,1
3,Vivica A. Fox,42.0,0.1149420787033584,4
3,Willa Ford,25.0,0.12012783805494971,5
4,Apolo Anton Ohno,24.0,0.18646402182429048,9
4,Billy Ray Cyrus,45.0,0.11243756659682942,7
4,Clyde Drexler,44.0,0.07491872198815873,4
4,Heather Mills,39.0,0.11674317156738465,5
4,Ian Ziering,42.0,0.1513096967347659,8
4,Joey Fatone,30.0,0.18350677491694067,9
4,John Ratzenberger,59.0,0.1035560720687292,6
4,Laila Ali,29.0,0.18047792687964906,9
4,Leeza Gibbons,50.0,0.09333885171644703,3
4,Paulina Porizkova,41.0,0.0857142857142857,1
4,Shandi Finnessey,28.0,0.0889814641452911,2
5,Albert Reed,22.0,0.08497367818722815,2
5,Cameron Mathison,38.0,0.12606079060930925,8
5,Floyd Mayweather Jr. ,30.0,0.08610772792517313,4
