season,contestant,age,judge_share_mean,weeks
1,Evander Holyfield,42.0,0.11917199438640255,2
1,Joey McIntyre,32.0,0.19055044440979257,2
1,John O'Hurley,50.0,0.2206455636987369,2
1,Kelly Monaco,29.0,0.1693045376578824,2
1,Rachel Hunter,35.0,0.2218150631529705,2
1,Trista Sutter,32.0,0.1570247933884297,1
2,Drew Lachey,29.0,0.13547619047619044,3
2,George Hamilton,66.0,0.1077289377289377,3
2,Giselle Fernandez,44.0,0.11960927960927957,3
2,Jerry Rice,43.0,0.10902930402930404,3
2,Kenny Mayne,46.0,0.0666666666666666,1
2,Lisa Rinna,42.0,0.11159951159951158,3
2,Master P,35.0,0.0728205128205128,3
2,Stacy Keibler,26.0,0.13539072039072036,3
2,Tatum O'Neal,42.0,0.10147435897435896,2
2,Tia Carrere,39.0,0.11847374847374843,3
3,Emmitt Smith,37.0,0.10311427095676477,3
3,Harry Hamlin,54.0,0.09259107343602828,3
3,Jerry Springer,62.0,0.0865098897092334,3
3,Joey Lawrence,30.0,0.11047458451067964,3
3,Mario Lopez,32.0,0.10674201683225466,3
3,Monique Coleman,25.0,0.11103363412633299,3
3,Sara Evans,35.0,0.09427733722237407,3
3,Shanna Moakler,31.0,0.0902789171452009,2
3,Tucker Carlson,37.0,0.0566037735849056,1
3,Vivica A. Fox,42.0,0.1128520645337708,3
3,Willa Ford,25.0,0.10335125938079175,3
4,Apolo Anton Ohno,24.0,0.10581351806777756,2
4,Billy Ray Cyrus,45.0,0.09102228047182176,2
4,Clyde Drexler,44.0,0.07343194158397301,2
4,Heather Mills,39.0,0.10402546339636765,2
4,Ian Ziering,42.0,0.09994383074330646,2
4,Joey Fatone,30.0,0.10402546339636765,2
4,John Ratzenberger,59.0,0.08872870249017034,2
4,Laila Ali,29.0,0.1032671784310054,2
4,Leeza Gibbons,50.0,0.09790301441677585,2
4,Paulina Porizkova,41.0,0.0857142857142857,1
4,Shandi Finnessey,28.0,0.0889814641452911,2
5,Albert Reed,22.0,0.08497367818722815,2
5,Cameron Mathison,38.0,0.08872722199929572,3
5,Floyd Mayweather Jr. ,30.0,0.0820467711366981,3
5,Helio Castroneves,32.0,0.10371335092818036,3
5,Jane Seymour,56.0,0.09819707314083341,3
5,Jennie Garth,35.0,0.09291132241770579,3
5,Josie Maran,29.0,0.0622568093385214,1
5,Marie Osmond,47.0,0.09711300308997468,3
5,Mark Cuban,49.0,0.08034144090861679,3
