season,contestant,age,normal
1,Evander Holyfield,42.0,0.2
1,Joey McIntyre,32.0,0.6
1,John O'Hurley,50.0,0.8
1,Kelly Monaco,29.0,1.0
1,Rachel Hunter,35.0,0.4
1,Trista Sutter,32.0,0.0
2,Drew Lachey,29.0,1.0
2,George Hamilton,66.0,0.555555556
2,Giselle Fernandez,44.0,0.222222222
2,Jerry Rice,43.0,0.888888889
2,Kenny Mayne,46.0,0.0
2,Lisa Rinna,42.0,0.666666667
2,Master P,35.0,0.333333333
2,Stacy Keibler,26.0,0.777777778
2,Tatum O'Neal,42.0,0.111111111
2,Tia Carrere,39.0,0.444444444
3,Emmitt Smith,37.0,1.0
3,Harry Hamlin,54.0,0.2
3,Jerry Springer,62.0,0.6
3,Joey Lawrence,30.0,0.8
3,Mario Lopez,32.0,0.9
3,Monique Coleman,25.0,0.7
3,Sara Evans,35.0,0.5
3,Shanna Moakler,31.0,0.1
3,Tucker Carlson,37.0,0.0
3,Vivica A. Fox,42.0,0.3
3,Willa Ford,25.0,0.4
4,Apolo Anton Ohno,24.0,1.0
4,Billy Ray Cyrus,45.0,0.6
4,Clyde Drexler,44.0,0.3
4,Heather Mills,39.0,0.4
4,Ian Ziering,42.0,0.7
4,Joey Fatone,30.0,0.9
4,John Ratzenberger,59.0,0.5
4,Laila Ali,29.0,0.8
4,Leeza Gibbons,50.0,0.2
4,Paulina Porizkova,41.0,0.0
4,Shandi Finnessey,28.0,0.1
5,Albert Reed,22.0,0.090909091
5,Cameron Mathison,38.0,0.636363636
5,Floyd Mayweather Jr.,30.0,0.272727273
5,Helio Castroneves,32.0,1.0
5,Jane Seymour,56.0,0.545454545
5,Jennie Garth,35.0,0.727272727
5,Josie Maran,29.0,0.0
5,Marie Osmond,47.0,0.818181818
5,Mark Cuban,49.0,0.363636364
5,Mel B,32.0,0.909090909
5,Sabrina Bryan,23.0,0.454545455
5,Wayne Newton,65.0,0.181818182
6,Adam Carolla,43.0,0.272727273
6,Cristian de la Fuente,34.0,0.818181818
6,Jason Taylor,33.0,0.909090909
6,Kristi Yamaguchi,36.0,1.0
6,Mario,21.0,0.636363636
6,Marissa Jaret Winokur,35.0,0.727272727
6,Marlee Matlin,42.0,0.454545455
6,Monica Seles,34.0,0.090909091
6,Penn Jillette,53.0,0.0
6,Priscilla Presley,62.0,0.363636364
6,Shannon Elizabeth,34.0,0.545454545
6,Steve Guttenberg,49.0,0.181818182
7,Brooke Burke,37.0,1.0
7,Cloris Leachman,82.0,0.5
7,Cody Linley,18.0,0.75
7,Jeffrey Ross,43.0,0.0
7,Kim Kardashian,27.0,0.166666667
7,Lance Bass,29.0,0.833333333
7,Maurice Greene,34.0,0.666666667
7,Misty May-Treanor,31.0,0.25
7,Rocco DiSpirito,41.0,0.333333333
7,Susan Lucci,61.0,0.583333333
7,Ted McGinley,50.0,0.083333333
7,Toni Braxton,40.0,0.416666667
7,Warren Sapp,35.0,0.916666667
8,Belinda Carlisle,50.0,0.0
8,Chuck Wicks,29.0,0.583333333
8,David Alan Grier,52.0,0.333333333
8,Denise Richards,38.0,0.083333333
8,Gilles Marini,33.0,0.916666667
8,Holly Madison,30.0,0.166666667
8,Lawrence Taylor,50.0,0.5
8,Lil' Kim,34.0,0.666666667
8,Melissa Rycroft,26.0,0.833333333
8,Shawn Johnson,17.0,1.0
8,Steve Wozniak,58.0,0.25
8,Steve-O,34.0,0.416666667
8,Ty Murray,39.0,0.75
9,Aaron Carter,21.0,0.733333333
9,Ashley Hamiliton,34.0,0.0
9,Chuck Liddell,39.0,0.333333333
9,Debi Mazar,45.0,0.266666667
9,Donny Osmond,51.0,1.0
9,Joanna Krupa,30.0,0.8
9,Kathy Ireland,46.0,0.133333333
9,Kelly Osbourne,24.0,0.866666667
9,Louie Vito,21.0,0.533333333
9,Macy Gray,42.0,0.066666667
9,Mark Dacascos,45.0,0.666666667
9,Melissa Joan Hart,33.0,0.466666667
9,Michael Irvin,43.0,0.6
9,Mya,29.0,0.933333333
9,Natalie Coughlin,27.0,0.4
9,Tom DeLay,62.0,0.2
10,Aiden Turner,32.0,0.2
10,Buzz Aldrin,80.0,0.1
10,Chad Ochocinco,32.0,0.7
10,Erin Andrews,32.0,0.8
10,Evan Lysacek,24.0,0.9
10,Jake Pavelka,32.0,0.4
10,Kate Gosselin,35.0,0.3
10,Nicole Scherzinger,31.0,1.0
10,Niecy Nash,40.0,0.6
10,Pamela Anderson,42.0,0.5
10,Shannen Doherty,38.0,0.0
11,Audrina Patridge,25.0,0.454545455
11,Brandy,31.0,0.727272727
11,Bristol Palin,19.0,0.818181818
11,David Hasselhoff,58.0,0.0
11,Florence Henderson,76.0,0.363636364
11,Jennifer Grey,50.0,1.0
11,Kurt Warner,39.0,0.636363636
11,Kyle Massey,19.0,0.909090909
11,Margaret Cho,41.0,0.181818182
