season,contestant,age,vote_share_mean,weeks
1,Evander Holyfield,42.0,0.1817483341110405,2
1,Joey McIntyre,32.0,0.2726044615245247,4
1,John O'Hurley,50.0,0.2978862812304987,5
1,Kelly Monaco,29.0,0.3114705907036607,5
1,Rachel Hunter,35.0,0.15094709628038439,3
1,Trista Sutter,32.0,0.0464598371678697,1
2,Drew Lachey,29.0,0.18035219410205736,8
2,George Hamilton,66.0,0.13620997297783344,6
2,Giselle Fernandez,44.0,0.08048061414233987,3
2,Jerry Rice,43.0,0.23927108440299585,8
2,Kenny Mayne,46.0,0.0282023521349014,1
2,Lisa Rinna,42.0,0.14754509835420862,7
2,Master P,35.0,0.13263312811696834,4
2,Stacy Keibler,26.0,0.1597806768158346,8
2,Tatum O'Neal,42.0,0.06850271520975695,2
2,Tia Carrere,39.0,0.11550213872742521,5
3,Emmitt Smith,37.0,0.2650606033229484,9
3,Harry Hamlin,54.0,0.07670083993249684,3
3,Jerry Springer,62.0,0.12159641333912084,6
3,Joey Lawrence,30.0,0.16012522073552374,8
3,Mario Lopez,32.0,0.20614139301168177,9
3,Monique Coleman,25.0,0.13024231852266074,7
3,Sara Evans,35.0,0.13416715006262958,5
3,Shanna Moakler,31.0,0.0551416365171074,2
3,Tucker Carlson,37.0,0.0202371869038535,1
3,Vivica A. Fox,42.0,0.08254118871012738,4
3,Willa Ford,25.0,0.09505641450431387,5
4,Apolo Anton Ohno,24.0,0.21442265863544782,9
4,Billy Ray Cyrus,45.0,0.13571303722941278,7
4,Clyde Drexler,44.0,0.10606289233919873,4
4,Heather Mills,39.0,0.09526509286516742,5
4,Ian Ziering,42.0,0.13839492579169946,8
4,Joey Fatone,30.0,0.1773022731018196,9
4,John Ratzenberger,59.0,0.12061384107436819,6
4,Laila Ali,29.0,0.16009976601431974,9
4,Leeza Gibbons,50.0,0.0753062280642558,3
4,Paulina Porizkova,41.0,0.0100956767623434,1
4,Shandi Finnessey,28.0,0.0580763061061381,2
5,Albert Reed,22.0,0.0496468337527931,2
5,Cameron Mathison,38.0,0.11987947084213114,8
5,Floyd Mayweather Jr. ,30.0,0.08151774841310175,4
5,Helio Castroneves,32.0,0.20538451983609854,10
5,Jane Seymour,56.0,0.10936060629509388,7
5,Jennie Garth,35.0,0.13480987998096397,9
5,Josie Maran,29.0,0.014391310073917,1
5,Marie Osmond,47.0,0.1631392979747127,10
5,Mark Cuban,49.0,0.09517408561358565,5
5,Mel B,32.0,0.16702083347355412,10
5,Sabrina Bryan,23.0,0.09245011972998662,6
5,Wayne Newton,65.0,0.07879247961506784,3
6,Adam Carolla,43.0,0.07981888870855404,3
6,Cristian de la Fuente,34.0,0.16619695918997657,9
6,Jason Taylor,33.0,0.18158604250903926,9
6,Kristi Yamaguchi,36.0,0.2148382851526155,9
6,Mario,21.0,0.12320363729337096,7
6,Marissa Jaret Winokur,35.0,0.14441424873863784,8
6,Marlee Matlin,42.0,0.10112481426067435,5
6,Monica Seles,34.0,0.0193698,1
6,Penn Jillette,53.0,0.0164619,1
6,Priscilla Presley,62.0,0.08737584346709185,4
6,Shannon Elizabeth,34.0,0.10988125826791871,6
6,Steve Guttenberg,49.0,0.0644828032338516,2
7,Brooke Burke,37.0,0.2109824596362947,9
7,Cloris Leachman,82.0,0.10668556499360946,5
7,Cody Linley,18.0,0.14074236364759837,8
7,Jeffrey Ross,43.0,0.0210915,1
7,Kim Kardashian,27.0,0.05224930331460165,2
7,Lance Bass,29.0,0.16009330139070616,9
7,Maurice Greene,34.0,0.12068343704689426,7
7,Misty May-Treanor,31.0,0.09029237374103685,2
7,Rocco DiSpirito,41.0,0.0748109870574131,3
7,Susan Lucci,61.0,0.10780062365116912,6
7,Ted McGinley,50.0,0.0096009,1
7,Toni Braxton,40.0,0.08040629789246248,4
7,Warren Sapp,35.0,0.1830588565021683,9
8,Belinda Carlisle,50.0,0.0088577062003943,1
8,Chuck Wicks,29.0,0.10275883938351212,7
8,David Alan Grier,52.0,0.07349124361317948,4
8,Denise Richards,38.0,0.0458770814025765,2
8,Gilles Marini,33.0,0.16611099586255146,10
8,Holly Madison,30.0,0.06669787266746187,3
8,Lawrence Taylor,50.0,0.09732205610347162,6
8,Lil' Kim,34.0,0.11168364872877715,8
8,Melissa Rycroft,26.0,0.15387921271194452,10
8,Shawn Johnson,17.0,0.20123696502125848,10
8,Steve Wozniak,58.0,0.0790046456974956,3
8,Steve-O,34.0,0.10166850168951314,5
8,Ty Murray,39.0,0.13899866165623526,9
9,Aaron Carter,21.0,0.09787608703574235,8
9,Ashley Hamiliton,34.0,0.0108596010859601,1
9,Chuck Liddell,39.0,0.06306922275475005,4
9,Debi Mazar,45.0,0.052813180699565004,3
9,Donny Osmond,51.0,0.19201696425176668,10
9,Joanna Krupa,30.0,0.11388720746469042,9
9,Kathy Ireland,46.0,0.04290550548327595,2
9,Kelly Osbourne,24.0,0.1448315255866181,10
9,Louie Vito,21.0,0.07984725456828108,6
9,Macy Gray,42.0,0.0109970010997001,1
9,Mark Dacascos,45.0,0.08511811239870369,7
9,Melissa Joan Hart,33.0,0.07651089192084377,6
9,Michael Irvin,43.0,0.09727791389292527,7
9,Mya,29.0,0.1512102349907864,10
9,Natalie Coughlin,27.0,0.0647341182958591,5
9,Tom DeLay,62.0,0.08481449583825906,3
10,Aiden Turner,32.0,0.07555150083269893,3
10,Buzz Aldrin,80.0,0.07746153755921324,2
10,Chad Ochocinco,32.0,0.1454312453064765,8
10,Erin Andrews,32.0,0.1636564675940771,9
10,Evan Lysacek,24.0,0.1805432042575662,9
10,Jake Pavelka,32.0,0.09797821329263902,5
10,Kate Gosselin,35.0,0.10071925092916915,4
10,Nicole Scherzinger,31.0,0.21236378522455737,9
10,Niecy Nash,40.0,0.12861294436431392,7
10,Pamela Anderson,42.0,0.10716824343319746,6
10,Shannen Doherty,38.0,0.0098332049166024,1
11,Audrina Patridge,25.0,0.09370360499360382,6
11,Brandy,31.0,0.1282884181518395,9
11,Bristol Palin,19.0,0.16838520407254698,10
11,David Hasselhoff,58.0,0.0126132784605811,1
11,Florence Henderson,76.0,0.08978629520422048,5
11,Jennifer Grey,50.0,0.2017261540471636,10
11,Kurt Warner,39.0,0.1237992773408571,8
11,Kyle Massey,19.0,0.1732856298437055,10
11,Margaret Cho,41.0,0.07184345993696274,3
11,Michael Bolton,57.0,0.058692345889166,2
11,Rick Fox,41.0,0.10425981469915131,7
11,The Situation,28.0,0.0836349948364596,4
12,Chelsea Kane,22.0,0.15939583191641224,9
12,Chris Jericho,40.0,0.0980661751616253,5
12,Hines Ward,35.0,0.215201145485943,9
12,Kendra Wilkinson,25.0,0.1159517073055172,6
12,Kirstie Alley,60.0,0.18779544424197958,9
12,Mike Catherwood,32.0,0.0122761885142846,1
12,Petra Nemcova,31.0,0.08755647459695172,4
12,Ralph Macchio,49.0,0.14639950860798437,8
12,Romeo,21.0,0.1228720384162856,7
12,Sugar Ray Leonard,54.0,0.07760243919973729,3
12,Wendy Williams,46.0,0.0629086716402884,2
13,Carson Kressley,41.0,0.0930761893845487,5
13,Chaz Bono,42.0,0.10789172718786373,6
13,Chynna Phillips,43.0,0.07414981377551562,4
13,David Arquette,40.0,0.10811805887812355,7
13,Elisabetta Canalis,33.0,0.0519018551791174,2
13,Hope Solo,30.0,0.1380382373348829,9
13,J.R. Martinez,28.0,0.20438562528659426,10
13,Kristin Cavallari,24.0,0.06284197869321796,3
13,Metta World Peace (Ron),31.0,0.0132492823631144,1
13,Nancy Grace,51.0,0.12542207069438238,8
13,Ricki Lake,42.0,0.15170537839870907,10
13,Rob Kardashian,24.0,0.1721633355478102,10
14,Donald Driver,37.0,0.20667907814158726,9
14,Gavin DeGraw,35.0,0.0809508072777338,4
14,Gladys Knight,67.0,0.09405872257214944,5
14,Jack Wagner,52.0,0.050730440466941,2
14,Jaleel White,35.0,0.09720761245826869,6
14,Katherine Jenkins,31.0,0.1689172750485984,9
14,Maria Menounos,33.0,0.12479976563796925,8
14,Martina Navratilova,55.0,0.0141229180782205,1
14,Melissa Gilbert,47.0,0.11537622095327013,7
14,Roshon Fegan,20.0,0.10937651652721925,7
14,Sherri Sheperd,44.0,0.06811921773851266,3
14,William Levy,31.0,0.15007572943024572,9
15,Apolo Anton Ohno,24.0,0.11185382238408803,7
15,Bristol Palin,19.0,0.0823309311314819,4
15,Drew Lachey,29.0,0.0624423006659682,3
15,Emmitt Smith,37.0,0.11418788695525442,7
15,Gilles Marini,33.0,0.09379268829893289,6
15,Helio Castroneves,32.0,0.06124357340342554,3
15,Joey Fatone,30.0,0.0454583460208685,2
15,Kelly Monaco,29.0,0.14300275632062714,8
15,Kirstie Alley,60.0,0.102327177881523,6
15,Melissa Rycroft,26.0,0.2002942409156271,8
15,Pamela Anderson,42.0,0.0114279163632195,1
15,Sabrina Bryan,23.0,0.08201268756121347,5
15,Shawn Johnson,17.0,0.1602279333383373,8
16,Alexandra Raisman,18.0,0.13145552541200542,9
16,Andy Dick,47.0,0.10417661781581118,6
16,D. L. Hughley,50.0,0.08468154857088665,4
16,Dorothy Hamill,56.0,0.0140180109028973,1
16,Ingo Rademacher,41.0,0.12183252975671499,8
16,Jacoby Jones,28.0,0.16229764921069742,9
16,Kellie Pickler,26.0,0.15917353909251516,9
16,Lisa Vanderpump,52.0,0.06891260429305533,3
16,Sean Lowe,29.0,0.10941918785893485,7
16,Victor Ortiz,26.0,0.09122216265622342,5
16,Wynonna Judd,48.0,0.05517848636587755,2
16,Zendaya,16.0,0.15911727916926913,9
17,Amber Riley,27.0,0.15840843191813236,9
17,Bill Engvall,56.0,0.14760066494475885,9
17,Bill Nye,57.0,0.06139626209726055,2
17,Brant Daugherty,28.0,0.09598099391005203,6
17,Christina Milian,31.0,0.0758248691110527,4
17,Corbin Bleu,24.0,0.15582899802323738,9
17,Elizabeth Berkley Lauren,39.0,0.10818359559617438,7
17,Jack Osbourne,27.0,0.16053799757928722,9
17,Keyshawn Johnson,41.0,0.0126893417928945,1
17,Leah Remini,43.0,0.12076023964775308,8
17,"Nicole ""Snooki"" Polizzi",25.0,0.08643828358959292,5
17,Valerie Harper,74.0,0.0761297858720353,3
18,Amy Purdy,34.0,0.16517553515009942,8
18,Billy Dee Williams,76.0,0.11784594736470835,2
18,Candace Cameron Bure,37.0,0.1766254376244767,8
18,Charlie White,26.0,0.11825144525196316,7
18,Cody Simpson,17.0,0.0662170837962535,3
18,Danica McKellar,39.0,0.1037490180137406,6
18,Diana Nyad,64.0,0.0121927845515469,1
18,Drew Carey,55.0,0.088986933343757,4
18,James Maslow,23.0,0.1382641221096269,8
18,Meryl Davis,27.0,0.1653846907275279,8
18,NeNe Leakes,46.0,0.09633519858412286,5
18,Sean Avery,33.0,0.05099391664729905,2
19,Alfonso Ribeiro,42.0,0.14938608134168696,10
19,Antonio Sabato Jr.,42.0,0.09003643176384914,6
19,Bethany Mota,18.0,0.1255394463893608,10
19,Betsey Johnson,72.0,0.07675791393151575,4
19,Janel Parrish,25.0,0.15087059027651756,10
19,Jonathan Bennett,33.0,0.08195075869239958,5
19,Lea Thompson,53.0,0.10212066388157988,8
19,Lolo Jones,32.0,0.0122070094943407,1
19,Michael Waltrip,51.0,0.10518130826637613,7
19,Randy Couture,51.0,0.06207101021708966,3
19,Sadie Robertson,17.0,0.15206021881457582,10
19,Tavis Smiley,50.0,0.0452760907702928,2
19,Tommy Chong,76.0,0.12469176682266249,9
20,Charlotte McKinney,21.0,0.05699809355428455,2
20,Chris Soules,33.0,0.11926705611912539,7
20,Michael Sam,25.0,0.0696129348210303,3
20,Nastia Liukin,25.0,0.11905203407749917,8
20,Noah Galloway,33.0,0.1567199002477916,9
20,Patti LaBelle,70.0,0.09298390260137704,5
20,Redfoo,39.0,0.0065738932714844,1
20,Riker Lynch,23.0,0.16360018142450095,9
20,Robert Herjavec,52.0,0.11632504894293452,7
20,Rumer Willis,26.0,0.20431578105204748,9
20,Suzanne Somers,68.0,0.08329556771768587,4
20,Willow Shields,14.0,0.09153425978429192,6
21,Alek Skarlatos,22.0,0.1662055184522611,7
21,Alexa PenaVega,27.0,0.10944442662790858,6
21,Andy Grammer,31.0,0.09549287307007973,5
21,Bindi Irwin,17.0,0.15573964105206756,7
21,Carlos PenaVega,26.0,0.12308623975149571,7
21,Chaka Khan,62.0,0.0171264285714285,1
21,Gary Busey,71.0,0.06206607921306675,2
21,Hayes Grier,15.0,0.08329800981788138,4
21,Kim Zolciak-Biermann,37.0,0.0969777142857142,1
21,Nick Carter,35.0,0.15802458544436368,7
21,Paula Deen,68.0,0.0797314372413777,3
21,Tamar Braxton,38.0,0.13707556447412558,6
