season,week,celebrity_name,judge1,judge2,judge3,judge4,total_score
1,1,John O'Hurley,7.0,7.0,6.0,,20.0
1,1,Rachel Hunter,7.0,6.0,7.0,,20.0
1,1,Joey McIntyre,7.0,7.0,6.0,,20.0
1,1,Evander Holyfield,5.0,7.0,6.0,,18.0
1,1,Trista Sutter,6.0,6.0,6.0,,18.0
1,1,Kelly Monaco,5.0,4.0,4.0,,13.0
1,2,John O'Hurley,8.0,9.0,9.0,,26.0
1,2,Rachel Hunter,8.0,8.0,8.0,,24.0
1,2,Joey McIntyre,8.0,7.0,6.0,,21.0
1,2,Trista Sutter,6.0,7.0,6.0,,19.0
1,2,Kelly Monaco,5.0,6.0,6.0,,17.0
1,2,Evander Holyfield,5.0,4.0,5.0,,14.0
1,3,Rachel Hunter,8.0,9.0,9.0,,26.0
1,3,John O'Hurley,9.0,8.0,7.0,,24.0
1,3,Joey McIntyre,7.0,7.0,8.0,,22.0
1,3,Kelly Monaco,6.0,7.0,8.0,,21.0
1,3,Evander Holyfield,5.0,4.0,4.0,,13.0
1,4,Kelly Monaco,9.0,9.0,8.0,,26.0
1,4,Rachel Hunter,7.0,9.0,9.0,,25.0
1,4,John O'Hurley,7.0,8.0,6.0,,21.0
1,4,Joey McIntyre,7.0,6.0,7.0,,20.0
1,5,John O'Hurley,9.0,9.0,9.0,,27.0
1,5,Kelly Monaco,8.5,7.5,7.5,,23.5
1,5,Joey McIntyre,8.5,7.0,7.0,,22.5
1,6,Kelly Monaco,8.5,9.5,9.5,,27.5
1,6,John O'Hurley,9.0,9.0,9.0,,27.0
2,1,Drew Lachey,8.0,8.0,8.0,,24.0
2,1,Tatum O'Neal,7.0,8.0,8.0,,23.0
2,1,Giselle Fernandez,7.0,8.0,8.0,,23.0
2,1,Stacy Keibler,8.0,6.0,8.0,,22.0
2,1,Jerry Rice,7.0,7.0,7.0,,21.0
2,1,Tia Carrere,6.0,7.0,7.0,,20.0
2,1,Lisa Rinna,5.0,7.0,7.0,,19.0
2,1,George Hamilton,7.0,5.0,6.0,,18.0
2,1,Kenny Mayne,4.0,5.0,4.0,,13.0
2,1,Master P,4.0,4.0,4.0,,12.0
2,2,Stacy Keibler,9.0,10.0,10.0,,29.0
2,2,Drew Lachey,9.0,9.0,9.0,,27.0
2,2,Giselle Fernandez,8.0,8.0,8.0,,24.0
2,2,Jerry Rice,7.0,8.0,8.0,,23.0
2,2,Tia Carrere,7.0,8.0,7.0,,22.0
2,2,George Hamilton,8.0,7.0,7.0,,22.0
2,2,Lisa Rinna,6.0,7.0,7.0,,20.0
2,2,Tatum O'Neal,5.0,6.0,6.0,,17.0
2,2,Master P,6.0,5.0,5.0,,16.0
2,3,Stacy Keibler,9.0,9.0,9.0,,27.0
2,3,Drew Lachey,9.0,9.0,9.0,,27.0
2,3,Tia Carrere,9.0,8.0,9.0,,26.0
2,3,Lisa Rinna,8.0,8.0,9.0,,25.0
2,3,George Hamilton,7.0,7.0,8.0,,22.0
2,3,Giselle Fernandez,7.0,8.0,7.0,,22.0
2,3,Jerry Rice,7.0,6.0,6.0,,19.0
2,3,Master P,6.0,4.0,4.0,,14.0
2,4,Drew Lachey,9.0,9.0,10.0,,28.0
2,4,Lisa Rinna,9.0,9.0,8.0,,26.0
2,4,Stacy Keibler,8.0,9.0,9.0,,26.0
2,4,Tia Carrere,9.0,8.0,8.0,,25.0
2,4,Jerry Rice,8.0,8.0,8.0,,24.0
2,4,George Hamilton,7.0,7.0,7.0,,21.0
2,4,Master P,4.0,2.0,2.0,,8.0
2,5,Stacy Keibler,10.0,10.0,10.0,,30.0
2,5,Drew Lachey,9.0,9.0,9.0,,27.0
2,5,Lisa Rinna,7.0,9.0,9.0,,25.0
2,5,George Hamilton,8.0,8.0,8.0,,24.0
2,5,Jerry Rice,7.0,8.0,8.0,,23.0
2,5,Tia Carrere,7.0,7.0,8.0,,22.0
2,6,Stacy Keibler,10.0,10.0,10.0,,30.0
2,6,Drew Lachey,10.0,10.0,10.0,,30.0
2,6,Lisa Rinna,9.0,9.0,9.0,,27.0
2,6,George Hamilton,8.0,7.0,8.0,,23.0
2,6,Jerry Rice,8.0,7.0,8.0,,23.0
2,7,Stacy Keibler,9.0,9.0,9.5,,27.5
2,7,Drew Lachey,9.5,9.0,9.0,,27.5
2,7,Lisa Rinna,8.5,9.0,9.0,,26.5
2,7,Jerry Rice,7.0,7.0,6.5,,20.5
2,8,Drew Lachey,9.6666,9.6666,9.6666,,28.9998
2,8,Stacy Keibler,9.3333,9.6666,9.6666,,28.6665
2,8,Jerry Rice,9.0,9.0,8.6666,,26.666600000000003
3,1,Mario Lopez,9.0,8.0,9.0,,26.0
3,1,Emmitt Smith,8.0,8.0,8.0,,24.0
3,1,Vivica A. Fox,6.0,8.0,8.0,,22.0
3,1,Willa Ford,7.0,7.0,8.0,,22.0
3,1,Joey Lawrence,7.0,7.0,7.0,,21.0
3,1,Monique Coleman,6.0,6.0,7.0,,19.0
3,1,Shanna Moakler,7.0,5.0,6.0,,18.0
3,1,Harry Hamlin,5.0,6.0,6.0,,17.0
3,1,Jerry Springer,5.0,5.0,6.0,,16.0
3,1,Sara Evans,5.0,5.0,5.0,,15.0
3,1,Tucker Carlson,5.0,4.0,3.0,,12.0
3,2,Joey Lawrence,10.0,9.0,10.0,,29.0
3,2,Monique Coleman,9.0,8.0,9.0,,26.0
3,2,Vivica A. Fox,8.0,8.0,8.0,,24.0
3,2,Emmitt Smith,8.0,8.0,8.0,,24.0
3,2,Willa Ford,7.0,8.0,8.0,,23.0
3,2,Shanna Moakler,8.0,7.0,7.0,,22.0
3,2,Harry Hamlin,7.0,7.0,7.0,,21.0
3,2,Mario Lopez,7.0,6.0,8.0,,21.0
3,2,Sara Evans,7.0,7.0,7.0,,21.0
3,2,Jerry Springer,7.0,6.0,6.0,,19.0
3,3,Vivica A. Fox,9.0,9.0,9.0,,27.0
3,3,Monique Coleman,9.0,9.0,9.0,,27.0
3,3,Sara Evans,8.0,9.0,8.0,,25.0
3,3,Harry Hamlin,7.0,8.0,7.0,,22.0
3,3,Joey Lawrence,8.0,6.0,8.0,,22.0
3,3,Mario Lopez,8.0,6.0,8.0,,22.0
3,3,Willa Ford,7.0,7.0,8.0,,22.0
3,3,Jerry Springer,7.0,7.0,7.0,,21.0
3,3,Emmitt Smith,7.0,6.0,6.0,,19.0
3,4,Mario Lopez,10.0,9.0,10.0,,29.0
3,4,Willa Ford,9.0,9.0,10.0,,28.0
3,4,Joey Lawrence,9.0,9.0,9.0,,27.0
3,4,Vivica A. Fox,8.0,8.0,8.0,,24.0
3,4,Monique Coleman,8.0,8.0,8.0,,24.0
3,4,Emmitt Smith,8.0,8.0,8.0,,24.0
3,4,Jerry Springer,7.0,7.0,8.0,,22.0
3,4,Sara Evans,6.0,7.0,7.0,,20.0
3,5,Monique Coleman,9.0,9.0,9.0,,27.0
3,5,Mario Lopez,9.0,9.0,9.0,,27.0
3,5,Emmitt Smith,9.0,9.0,9.0,,27.0
3,5,Willa Ford,9.0,9.0,9.0,,27.0
3,5,Joey Lawrence,8.0,8.0,9.0,,25.0
3,5,Sara Evans,8.0,8.0,8.0,,24.0
3,5,Jerry Springer,8.0,8.0,8.0,,24.0
3,6,Mario Lopez,9.0,9.0,10.0,,28.0
3,6,Emmitt Smith,8.0,8.0,9.0,,25.0
3,6,Joey Lawrence,8.0,8.0,8.0,,24.0
3,6,Monique Coleman,9.0,7.0,7.0,,23.0
3,6,Jerry Springer,7.0,6.0,5.0,,18.0
3,7,Joey Lawrence,9.5,9.0,10.0,,28.5
3,7,Emmitt Smith,10.0,9.5,9.0,,28.5
3,7,Mario Lopez,9.5,9.0,9.5,,28.0
3,7,Monique Coleman,9.0,9.0,9.0,,27.0
3,7,Jerry Springer,7.5,8.0,7.5,,23.0
3,8,Mario Lopez,9.5,9.0,10.0,,28.5
3,8,Joey Lawrence,9.5,8.5,9.0,,27.0
3,8,Emmitt Smith,8.5,9.0,9.5,,27.0
3,8,Monique Coleman,8.5,9.0,9.0,,26.5
3,9,Joey Lawrence,9.5,10.0,10.0,,29.5
3,9,Mario Lopez,10.0,9.5,10.0,,29.5
3,9,Emmitt Smith,9.5,10.0,10.0,,29.5
3,10,Mario Lopez,10.0,10.0,9.6666,,29.666600000000003
3,10,Emmitt Smith,10.0,9.6666,10.0,,29.666600000000003
4,1,Joey Fatone,8.0,8.0,8.0,,24.0
4,1,Laila Ali,7.0,8.0,8.0,,23.0
4,1,Ian Ziering,7.0,7.0,7.0,,21.0
4,1,Apolo Anton Ohno,7.0,7.0,7.0,,21.0
4,1,Shandi Finnessey,6.0,6.0,7.0,,19.0
4,1,Paulina Porizkova,6.0,6.0,7.0,,19.0
4,1,Heather Mills,6.0,6.0,6.0,,18.0
4,1,John Ratzenberger,6.0,5.0,6.0,,17.0
4,1,Clyde Drexler,6.0,5.0,5.0,,16.0
