season,week,method,constraint_type,eliminated,contestant,judge_total,fan_vote_mean,fan_vote_std,feasible_rate,num_valid,n_simulations,p_elim,rank_elim,p_elim_true,rank_true,status,finals_order,estimated_votes_total,certainty_cv
1,2,rank,elimination,Trista Sutter,John O'Hurley,26.0,0.165220925491243,0.138853506025594,0.23253,23253,100000,0.0002366666666666,6.0,0.1566223333333298,3.0,ok,,826104,0.8404
1,2,rank,elimination,Trista Sutter,Kelly Monaco,17.0,0.2011000390160966,0.135323488417285,0.23253,23253,100000,0.3045056666666751,2.0,0.1566223333333298,3.0,ok,,1005500,0.6729
1,2,rank,elimination,Trista Sutter,Evander Holyfield,14.0,0.2506203458046415,0.1344203777685329,0.23253,23253,100000,0.4760606666666613,1.0,0.1566223333333298,3.0,ok,,1253101,0.5364
1,2,rank,elimination,Trista Sutter,Rachel Hunter,24.0,0.1646381724078058,0.1394966882516171,0.23253,23253,100000,0.0087739999999999,5.0,0.1566223333333298,3.0,ok,,823190,0.8473
1,2,rank,elimination,Trista Sutter,Joey McIntyre,21.0,0.1719605478700879,0.1379573554787723,0.23253,23253,100000,0.053800666666667,4.0,0.1566223333333298,3.0,ok,,859802,0.8023
1,2,rank,elimination,Trista Sutter,Trista Sutter,19.0,0.0464599694101253,0.038230718214191,0.23253,23253,100000,0.1566223333333298,3.0,0.1566223333333298,3.0,ok,,232299,0.8229
1,3,rank,elimination,Evander Holyfield,John O'Hurley,24.0,0.2093825836841827,0.168033166209935,0.62383,62383,100000,0.0327899999999997,4.0,0.5122533333333267,1.0,ok,,1046912,0.8025
1,3,rank,elimination,Evander Holyfield,Kelly Monaco,21.0,0.2497825075437147,0.1679855970947884,0.62383,62383,100000,0.3136100000000117,2.0,0.5122533333333267,1.0,ok,,1248912,0.6725
1,3,rank,elimination,Evander Holyfield,Evander Holyfield,13.0,0.1128762348162744,0.0922497540732747,0.62383,62383,100000,0.5122533333333267,1.0,0.5122533333333267,1.0,ok,,564381,0.8173
1,3,rank,elimination,Evander Holyfield,Rachel Hunter,26.0,0.2092469414515926,0.1697972251487474,0.62383,62383,100000,0.00182,5.0,0.5122533333333267,1.0,ok,,1046234,0.8115
1,3,rank,elimination,Evander Holyfield,Joey McIntyre,22.0,0.2187117325042261,0.168051311130441,0.62383,62383,100000,0.1395266666666617,3.0,0.5122533333333267,1.0,ok,,1093558,0.7684
