season,week,method,constraint_type,eliminated,contestant,judge_total,fan_vote_mean,fan_vote_std,feasible_rate,num_valid,n_simulations,p_elim,rank_elim,p_elim_true,rank_true,status,estimated_votes_total
1,1,rank,elimination,Null,John O'Hurley,26,0.165220925,0.138853506,0.23253,23253,100000,0.000236667,6,0.156622333,3,ok,826104
1,1,rank,elimination,Null,Kelly Monaco,17,0.201100039,0.135323488,0.23253,23253,100000,0.304505667,2,0.156622333,3,ok,1005500
1,1,rank,elimination,Null,Evander Holyfield,14,0.250620346,0.134420378,0.23253,23253,100000,0.476060667,1,0.156622333,3,ok,1253101
1,1,rank,elimination,Null,Rachel Hunter,24,0.164638172,0.139496688,0.23253,23253,100000,0.008774,5,0.156622333,3,ok,823190
1,1,rank,elimination,Null,Joey McIntyre,21,0.171960548,0.137957355,0.23253,23253,100000,0.053800667,4,0.156622333,3,ok,859802
1,1,rank,elimination,Null,Trista Sutter,19,0.046459969,0.038230718,0.23253,23253,100000,0.156622333,3,0.156622333,3,ok,232299
1,2,rank,elimination,Trista Sutter,John O'Hurley,26,0.165220925,0.138853506,0.23253,23253,100000,0.000236667,6,0.156622333,3,ok,826104
1,2,rank,elimination,Trista Sutter,Kelly Monaco,17,0.201100039,0.135323488,0.23253,23253,100000,0.304505667,2,0.156622333,3,ok,1005500
1,2,rank,elimination,Trista Sutter,Evander Holyfield,14,0.250620346,0.134420378,0.23253,23253,100000,0.476060667,1,0.156622333,3,ok,1253101
1,2,rank,elimination,Trista Sutter,Rachel Hunter,24,0.164638172,0.139496688,0.23253,23253,100000,0.008774,5,0.156622333,3,ok,823190
1,2,rank,elimination,Trista Sutter,Joey McIntyre,21,0.171960548,0.137957355,0.23253,23253,100000,0.053800667,4,0.156622333,3,ok,859802
1,2,rank,elimination,Trista Sutter,Trista Sutter,19,0.046459969,0.038230718,0.23253,23253,100000,0.156622333,3,0.156622333,3,ok,232299
1,3,rank,elimination,Evander Holyfield,John O'Hurley,24,0.209382584,0.168033166,0.62383,62383,100000,0.03279,4,0.512253333,1,ok,1046912
1,3,rank,elimination,Evander Holyfield,Kelly Monaco,21,0.249782508,0.167985597,0.62383,62383,100000,0.31361,2,0.512253333,1,ok,1248912
1,3,rank,elimination,Evander Holyfield,Evander Holyfield,13,0.112876235,0.092249754,0.62383,62383,100000,0.512253333,1,0.512253333,1,ok,564381
