season,week,method,contestant,judge_total,estimated_votes_total,ballroom_partner,celebrity_industry,celebrity_homecountry/region,celebrity_age_during_season
1,2,rank,John O'Hurley,26,826104,Charlotte Jorgensen,Actor/Actress,United States,50
1,2,rank,Kelly Monaco,17,1005500,Alec Mazo,Actor/Actress,United States,29
1,2,rank,Evander Holyfield,14,1253101,Edyta Sliwinska,Athlete,United States,42
1,2,rank,Rachel Hunter,24,823190,Jonathan Roberts,Model,New Zealand,35
1,2,rank,Joey McIntyre,21,859802,Ashly DelGrosso,Singer/Rapper,United States,32
1,2,rank,Trista Sutter,19,232299,Louis van Amstel,TV Personality,United States,32
1,3,rank,John O'Hurley,24,1046912,Charlotte Jorgensen,Actor/Actress,United States,50
1,3,rank,Kelly Monaco,21,1248912,Alec Mazo,Actor/Actress,United States,29
1,3,rank,Evander Holyfield,13,564381,Edyta Sliwinska,Athlete,United States,42
1,3,rank,Rachel Hunter,26,1046234,Jonathan Roberts,Model,New Zealand,35
1,3,rank,Joey McIntyre,22,1093558,Ashly DelGrosso,Singer/Rapper,United States,32
1,4,rank,John O'Hurley,21,1353056,Charlotte Jorgensen,Actor/Actress,United States,50
1,4,rank,Kelly Monaco,26,1144029,Alec Mazo,Actor/Actress,United States,29
1,4,rank,Rachel Hunter,25,394781,Jonathan Roberts,Model,New Zealand,35
1,4,rank,Joey McIntyre,20,2108132,Ashly DelGrosso,Singer/Rapper,United States,32
1,5,rank,John O'Hurley,27,2237436,Charlotte Jorgensen,Actor/Actress,United States,50
1,5,rank,Kelly Monaco,23.5,2454789,Alec Mazo,Actor/Actress,United States,29
1,5,rank,Joey McIntyre,22.5,1807773,Ashly DelGrosso,Singer/Rapper,United States,32
1,6,rank,John O'Hurley,27,4499960,Charlotte Jorgensen,Actor/Actress,United States,50
1,6,rank,Kelly Monaco,27.5,4500039,Alec Mazo,Actor/Actress,United States,29
2,1,rank,Tatum O'Neal,23,615060,Nick Kosovich,Actor/Actress,United States,42
2,1,rank,Tia Carrere,20,631140,Maksim Chmerkoskiy,Actor/Actress,United States,39
2,1,rank,George Hamilton,18,698738,Edyta Sliwinska,Actor/Actress,United States,66
2,1,rank,Lisa Rinna,19,656094,Louis van Amstel,Actor/Actress,United States,42
2,1,rank,Stacy Keibler,22,620797,Tony Dovolani,Athlete,United States,26
2,1,rank,Jerry Rice,21,619334,Anna Trebunskaya,Athlete,United States,43
2,1,rank,Giselle Fernandez,23,610486,Jonathan Roberts,News Anchor,Mexico,44
2,1,rank,Master P,12,767158,Ashly DelGrosso,Singer/Rapper,United States,35
2,1,rank,Drew Lachey,24,611975,Cheryl Burke,Singer/Rapper,United States,29
2,1,rank,Kenny Mayne,13,169214,Andrea Hale,Sports Broadcaster,United States,46
2,2,rank,Tatum O'Neal,17,206972,Nick Kosovich,Actor/Actress,United States,42
2,2,rank,Tia Carrere,22,703674,Maksim Chmerkoskiy,Actor/Actress,United States,39
2,2,rank,George Hamilton,22,696171,Edyta Sliwinska,Actor/Actress,United States,66
2,2,rank,Lisa Rinna,20,781464,Louis van Amstel,Actor/Actress,United States,42
2,2,rank,Stacy Keibler,29,683282,Tony Dovolani,Athlete,United States,26
2,2,rank,Jerry Rice,23,690652,Anna Trebunskaya,Athlete,United States,43
2,2,rank,Giselle Fernandez,24,685466,Jonathan Roberts,News Anchor,Mexico,44
2,2,rank,Master P,16,873951,Ashly DelGrosso,Singer/Rapper,United States,35
2,2,rank,Drew Lachey,27,678363,Cheryl Burke,Singer/Rapper,United States,29
2,3,rank,Tia Carrere,26,724287,Maksim Chmerkoskiy,Actor/Actress,United States,39
2,3,rank,George Hamilton,22,823840,Edyta Sliwinska,Actor/Actress,United States,66
2,3,rank,Lisa Rinna,25,733531,Louis van Amstel,Actor/Actress,United States,42
2,3,rank,Stacy Keibler,27,709375,Tony Dovolani,Athlete,United States,26
2,3,rank,Jerry Rice,19,985007,Anna Trebunskaya,Athlete,United States,43
2,3,rank,Giselle Fernandez,22,152698,Jonathan Roberts,News Anchor,Mexico,44
2,3,rank,Master P,14,1157888,Ashly DelGrosso,Singer/Rapper,United States,35
