season,week,method,contestant,judge_total,estimated_votes_total,ballroom_partner,celebrity_industry,celebrity_homecountry/region,celebrity_age_during_season,vote_share,judge_share
1,2,rank,John O'Hurley,26.0,826104,Charlotte Jorgensen,Actor/Actress,United States,50.0,0.16522093217674574,0.21487603305785125
1,2,rank,Kelly Monaco,17.0,1005500,Alec Mazo,Actor/Actress,United States,29.0,0.2011001608801287,0.14049586776859505
1,2,rank,Evander Holyfield,14.0,1253101,Edyta Sliwinska,Athlete,United States,42.0,0.2506204004963204,0.11570247933884298
1,2,rank,Rachel Hunter,24.0,823190,Jonathan Roberts,Model,New Zealand,35.0,0.16463813171050537,0.19834710743801653
1,2,rank,Joey McIntyre,21.0,859802,Ashly DelGrosso,Singer/Rapper,United States,32.0,0.17196053756843005,0.17355371900826447
1,2,rank,Trista Sutter,19.0,232299,Louis van Amstel,TV Personality,United States,32.0,0.046459837167869736,0.15702479338842976
1,3,rank,John O'Hurley,24.0,1046912,Charlotte Jorgensen,Actor/Actress,United States,50.0,0.20938252562951537,0.22641509433962265
1,3,rank,Kelly Monaco,21.0,1248912,Alec Mazo,Actor/Actress,United States,29.0,0.2497825498695299,0.19811320754716982
1,3,rank,Evander Holyfield,13.0,564381,Edyta Sliwinska,Athlete,United States,42.0,0.11287626772576063,0.12264150943396226
1,3,rank,Rachel Hunter,26.0,1046234,Jonathan Roberts,Model,New Zealand,35.0,0.20924692554815533,0.24528301886792453
1,3,rank,Joey McIntyre,22.0,1093558,Ashly DelGrosso,Singer/Rapper,United States,32.0,0.21871173122703874,0.20754716981132076
1,4,rank,John O'Hurley,21.0,1353056,Charlotte Jorgensen,Actor/Actress,United States,50.0,0.2706113082445233,0.22826086956521738
1,4,rank,Kelly Monaco,26.0,1144029,Alec Mazo,Actor/Actress,United States,29.0,0.2288058915223566,0.2826086956521739
1,4,rank,Rachel Hunter,25.0,394781,Jonathan Roberts,Model,New Zealand,35.0,0.07895623158249264,0.2717391304347826
1,4,rank,Joey McIntyre,20.0,2108132,Ashly DelGrosso,Singer/Rapper,United States,32.0,0.4216265686506275,0.21739130434782608
1,5,rank,John O'Hurley,27.0,2237436,Charlotte Jorgensen,Actor/Actress,United States,50.0,0.34422102899108586,0.3698630136986301
1,5,rank,Kelly Monaco,23.5,2454789,Alec Mazo,Actor/Actress,United States,29.0,0.3776599623569115,0.3219178082191781
1,5,rank,Joey McIntyre,22.5,1807773,Ashly DelGrosso,Singer/Rapper,United States,32.0,0.2781190086520027,0.3082191780821918
1,6,rank,John O'Hurley,27.0,4499960,Charlotte Jorgensen,Actor/Actress,United States,50.0,0.49999561111062346,0.4954128440366973
1,6,rank,Kelly Monaco,27.5,4500039,Alec Mazo,Actor/Actress,United States,29.0,0.5000043888893766,0.5045871559633027
2,1,rank,Tatum O'Neal,23.0,615060,Nick Kosovich,Actor/Actress,United States,42.0,0.10251006834004556,0.11794871794871795
2,1,rank,Tia Carrere,20.0,631140,Maksim Chmerkoskiy,Actor/Actress,United States,39.0,0.10519007012671341,0.10256410256410256
2,1,rank,George Hamilton,18.0,698738,Edyta Sliwinska,Actor/Actress,United States,66.0,0.11645641097094064,0.09230769230769231
2,1,rank,Lisa Rinna,19.0,656094,Louis van Amstel,Actor/Actress,United States,42.0,0.10934907289938194,0.09743589743589744
2,1,rank,Stacy Keibler,22.0,620797,Tony Dovolani,Athlete,United States,26.0,0.10346623564415709,0.11282051282051282
2,1,rank,Jerry Rice,21.0,619334,Anna Trebunskaya,Athlete,United States,43.0,0.1032224021482681,0.1076923076923077
2,1,rank,Giselle Fernandez,23.0,610486,Jonathan Roberts,News Anchor,Mexico,44.0,0.10174773449848967,0.11794871794871795
2,1,rank,Master P,12.0,767158,Ashly DelGrosso,Singer/Rapper,United States,35.0,0.12785975190650128,0.06153846153846154
2,1,rank,Drew Lachey,24.0,611975,Cheryl Burke,Singer/Rapper,United States,29.0,0.1019959013306009,0.12307692307692308
