season,week,method,contestant,judge_total,estimated_votes_total,ballroom_partner,celebrity_industry,celebrity_homecountry/region,celebrity_age_during_season,vote_share,judge_share,normal
1,2,rank,John O'Hurley,26,826104,Charlotte Jorgensen,Actor/Actress,United States,50,0.165220932,0.214876033,0.8
1,2,rank,Kelly Monaco,17,1005500,Alec Mazo,Actor/Actress,United States,29,0.201100161,0.140495868,1
1,2,rank,Evander Holyfield,14,1253101,Edyta Sliwinska,Athlete,United States,42,0.2506204,0.115702479,0.2
1,2,rank,Rachel Hunter,24,823190,Jonathan Roberts,Model,New Zealand,35,0.164638132,0.198347107,0.4
1,2,rank,Joey McIntyre,21,859802,Ashly DelGrosso,Singer/Rapper,United States,32,0.171960538,0.173553719,0.6
1,2,rank,Trista Sutter,19,232299,Louis van Amstel,TV Personality,United States,32,0.046459837,0.157024793,0
1,3,rank,John O'Hurley,24,1046912,Charlotte Jorgensen,Actor/Actress,United States,50,0.209382526,0.226415094,0.8
1,3,rank,Kelly Monaco,21,1248912,Alec Mazo,Actor/Actress,United States,29,0.24978255,0.198113208,1
1,3,rank,Evander Holyfield,13,564381,Edyta Sliwinska,Athlete,United States,42,0.112876268,0.122641509,0.2
1,3,rank,Rachel Hunter,26,1046234,Jonathan Roberts,Model,New Zealand,35,0.209246926,0.245283019,0.4
1,3,rank,Joey McIntyre,22,1093558,Ashly DelGrosso,Singer/Rapper,United States,32,0.218711731,0.20754717,0.6
1,4,rank,John O'Hurley,21,1353056,Charlotte Jorgensen,Actor/Actress,United States,50,0.270611308,0.22826087,0.8
1,4,rank,Kelly Monaco,26,1144029,Alec Mazo,Actor/Actress,United States,29,0.228805892,0.282608696,1
1,4,rank,Rachel Hunter,25,394781,Jonathan Roberts,Model,New Zealand,35,0.078956232,0.27173913,0.4
1,4,rank,Joey McIntyre,20,2108132,Ashly DelGrosso,Singer/Rapper,United States,32,0.421626569,0.217391304,0.6
1,5,rank,John O'Hurley,27,2237436,Charlotte Jorgensen,Actor/Actress,United States,50,0.344221029,0.369863014,0.8
1,5,rank,Kelly Monaco,23.5,2454789,Alec Mazo,Actor/Actress,United States,29,0.377659962,0.321917808,1
1,5,rank,Joey McIntyre,22.5,1807773,Ashly DelGrosso,Singer/Rapper,United States,32,0.278119009,0.308219178,0.6
1,6,rank,John O'Hurley,27,4499960,Charlotte Jorgensen,Actor/Actress,United States,50,0.499995611,0.495412844,0.8
1,6,rank,Kelly Monaco,27.5,4500039,Alec Mazo,Actor/Actress,United States,29,0.500004389,0.504587156,1
2,1,rank,Tatum O'Neal,23,615060,Nick Kosovich,Actor/Actress,United States,42,0.102510068,0.117948718,0.111111111
2,1,rank,Tia Carrere,20,631140,Maksim Chmerkoskiy,Actor/Actress,United States,39,0.10519007,0.102564103,0.444444444
2,1,rank,George Hamilton,18,698738,Edyta Sliwinska,Actor/Actress,United States,66,0.116456411,0.092307692,0.555555556
2,1,rank,Lisa Rinna,19,656094,Louis van Amstel,Actor/Actress,United States,42,0.109349073,0.097435897,0.666666667
2,1,rank,Stacy Keibler,22,620797,Tony Dovolani,Athlete,United States,26,0.103466236,0.112820513,0.777777778
2,1,rank,Jerry Rice,21,619334,Anna Trebunskaya,Athlete,United States,43,0.103222402,0.107692308,0.888888889
2,1,rank,Giselle Fernandez,23,610486,Jonathan Roberts,News Anchor,Mexico,44,0.101747734,0.117948718,0.222222222
2,1,rank,Master P,12,767158,Ashly DelGrosso,Singer/Rapper,United States,35,0.127859752,0.061538462,0.333333333
2,1,rank,Drew Lachey,24,611975,Cheryl Burke,Singer/Rapper,United States,29,0.101995901,0.123076923,1
2,1,rank,Kenny Mayne,13,169214,Andrea Hale,Sports Broadcaster,United States,46,0.028202352,0.066666667,0
2,2,rank,Tatum O'Neal,17,206972,Nick Kosovich,Actor/Actress,United States,42,0.034495362,0.085,0.111111111
2,2,rank,Tia Carrere,22,703674,Maksim Chmerkoskiy,Actor/Actress,United States,39,0.117279098,0.11,0.444444444
2,2,rank,George Hamilton,22,696171,Edyta Sliwinska,Actor/Actress,United States,66,0.116028597,0.11,0.555555556
2,2,rank,Lisa Rinna,20,781464,Louis van Amstel,Actor/Actress,United States,42,0.130244109,0.1,0.666666667
2,2,rank,Stacy Keibler,29,683282,Tony Dovolani,Athlete,United States,26,0.113880428,0.145,0.777777778
2,2,rank,Jerry Rice,23,690652,Anna Trebunskaya,Athlete,United States,43,0.115108763,0.115,0.888888889
2,2,rank,Giselle Fernandez,24,685466,Jonathan Roberts,News Anchor,Mexico,44,0.114244429,0.12,0.222222222
2,2,rank,Master P,16,873951,Ashly DelGrosso,Singer/Rapper,United States,35,0.145658621,0.08,0.333333333
2,2,rank,Drew Lachey,27,678363,Cheryl Burke,Singer/Rapper,United States,29,0.113060594,0.135,1
2,3,rank,Tia Carrere,26,724287,Maksim Chmerkoskiy,Actor/Actress,United States,39,0.12071456,0.142857143,0.444444444
2,3,rank,George Hamilton,22,823840,Edyta Sliwinska,Actor/Actress,United States,66,0.137306735,0.120879121,0.555555556
2,3,rank,Lisa Rinna,25,733531,Louis van Amstel,Actor/Actress,United States,42,0.122255228,0.137362637,0.666666667
2,3,rank,Stacy Keibler,27,709375,Tony Dovolani,Athlete,United States,26,0.118229226,0.148351648,0.777777778
2,3,rank,Jerry Rice,19,985007,Anna Trebunskaya,Athlete,United States,43,0.164167915,0.104395604,0.888888889
2,3,rank,Giselle Fernandez,22,152698,Jonathan Roberts,News Anchor,Mexico,44,0.025449679,0.120879121,0.222222222
2,3,rank,Master P,14,1157888,Ashly DelGrosso,Singer/Rapper,United States,35,0.19298143,0.076923077,0.333333333
2,3,rank,Drew Lachey,27,713371,Cheryl Burke,Singer/Rapper,United States,29,0.118895226,0.148351648,1
2,4,rank,Tia Carrere,25,909557,Maksim Chmerkoskiy,Actor/Actress,United States,39,0.151592934,0.158227848,0.444444444
2,4,rank,George Hamilton,21,1071462,Edyta Sliwinska,Actor/Actress,United States,66,0.178577119,0.132911392,0.555555556
2,4,rank,Lisa Rinna,26,890895,Louis van Amstel,Actor/Actress,United States,42,0.148482599,0.164556962,0.666666667
2,4,rank,Stacy Keibler,26,884915,Tony Dovolani,Athlete,United States,26,0.147485932,0.164556962,0.777777778
2,4,rank,Jerry Rice,24,971045,Anna Trebunskaya,Athlete,United States,43,0.161840941,0.151898734,0.888888889
2,4,rank,Master P,8,384196,Ashly DelGrosso,Singer/Rapper,United States,35,0.064032709,0.050632911,0.333333333
2,4,rank,Drew Lachey,28,887926,Cheryl Burke,Singer/Rapper,United States,29,0.147987765,0.17721519,1
2,5,rank,Tia Carrere,22,661872,Maksim Chmerkoskiy,Actor/Actress,United States,39,0.082734031,0.145695364,0.444444444
2,5,rank,George Hamilton,24,1482479,Edyta Sliwinska,Actor/Actress,United States,66,0.185309944,0.158940397,0.555555556
2,5,rank,Lisa Rinna,25,1403680,Louis van Amstel,Actor/Actress,United States,42,0.175460066,0.165562914,0.666666667
2,5,rank,Stacy Keibler,30,1384341,Tony Dovolani,Athlete,United States,26,0.17304269,0.198675497,0.777777778
2,5,rank,Jerry Rice,23,1674268,Anna Trebunskaya,Athlete,United States,43,0.209283578,0.152317881,0.888888889
2,5,rank,Drew Lachey,27,1393357,Cheryl Burke,Singer/Rapper,United States,29,0.17416969,0.178807947,1
2,6,rank,George Hamilton,23,668648,Edyta Sliwinska,Actor/Actress,United States,66,0.083581031,0.172932331,0.555555556
2,6,rank,Lisa Rinna,27,1773245,Louis van Amstel,Actor/Actress,United States,42,0.221655708,0.203007519,0.666666667
2,6,rank,Stacy Keibler,30,1643636,Tony Dovolani,Athlete,United States,26,0.205454577,0.22556391,0.777777778
2,6,rank,Jerry Rice,23,2264088,Anna Trebunskaya,Athlete,United States,43,0.283011106,0.172932331,0.888888889
2,6,rank,Drew Lachey,30,1650380,Cheryl Burke,Singer/Rapper,United States,29,0.206297577,0.22556391,1
2,7,rank,Lisa Rinna,26.5,1002951,Louis van Amstel,Actor/Actress,United States,42,0.125368906,0.259803922,0.666666667
2,7,rank,Stacy Keibler,27.5,1994396,Tony Dovolani,Athlete,United States,26,0.249299562,0.269607843,0.777777778
2,7,rank,Jerry Rice,20.5,3012902,Anna Trebunskaya,Athlete,United States,43,0.376612844,0.200980392,0.888888889
2,7,rank,Drew Lachey,27.5,1989749,Cheryl Burke,Singer/Rapper,United States,29,0.248718687,0.269607843,1
2,8,rank,Stacy Keibler,28.6665,2008641,Tony Dovolani,Athlete,United States,26,0.167386764,0.339920719,0.777777778
2,8,rank,Jerry Rice,26.6666,6011053,Anna Trebunskaya,Athlete,United States,43,0.500921125,0.316206368,0.888888889
2,8,rank,Drew Lachey,28.9998,3980305,Cheryl Burke,Singer/Rapper,United States,29,0.331692111,0.343872913,1
