season,week,eliminated_celebrity
1,2,Trista Sutter
1,3,Evander Holyfield
1,4,Rachel Hunter
2,1,Kenny Mayne
2,2,Tatum O'Neal
2,3,Giselle Fernandez
2,4,Master P
2,5,Tia Carrere
2,6,George Hamilton
2,7,Lisa Rinna
3,1,Tucker Carlson
3,2,Shanna Moakler
3,3,Harry Hamlin
3,4,Vivica A. Fox
3,5,Willa Ford
3,7,Jerry Springer
3,8,Monique Coleman
4,2,Paulina Porizkova
4,3,Shandi Finnessey
4,4,Leeza Gibbons
4,5,Clyde Drexler
4,6,Heather Mills
4,7,John Ratzenberger
4,8,Billy Ray Cyrus
4,9,Ian Ziering
5,1,Josie Maran
5,2,Albert Reed
5,3,Wayne Newton
5,4,Floyd Mayweather Jr. 
5,5,Mark Cuban
5,6,Sabrina Bryan
5,7,Jane Seymour
5,8,Cameron Mathison
5,9,Jennie Garth
6,2,Monica Seles
6,2,Penn Jillette
6,3,Steve Guttenberg
6,4,Adam Carolla
6,5,Priscilla Presley
6,6,Marlee Matlin
6,7,Shannon Elizabeth
6,8,Mario
6,9,Marissa Jaret Winokur
7,1,Ted McGinley
7,1,Jeffrey Ross
7,2,Kim Kardashian
7,4,Rocco DiSpirito
7,5,Toni Braxton
7,6,Cloris Leachman
7,7,Susan Lucci
7,8,Maurice Greene
7,9,Cody Linley
8,2,Belinda Carlisle
8,3,Denise Richards
8,4,Steve Wozniak
8,4,Holly Madison
8,5,David Alan Grier
8,6,Steve-O
8,7,Lawrence Taylor
8,8,Chuck Wicks
8,9,Lil' Kim
8,10,Ty Murray
9,1,Ashley Hamiliton
9,1,Macy Gray
9,2,Kathy Ireland
9,3,Debi Mazar
9,4,Chuck Liddell
9,5,Natalie Coughlin
9,6,Melissa Joan Hart
9,6,Louie Vito
9,7,Mark Dacascos
9,7,Michael Irvin
9,8,Aaron Carter
9,9,Joanna Krupa
10,2,Shannen Doherty
10,3,Buzz Aldrin
10,4,Aiden Turner
10,5,Kate Gosselin
10,6,Jake Pavelka
10,7,Pamela Anderson
10,8,Niecy Nash
10,9,Chad Ochocinco
11,1,David Hasselhoff
11,2,Michael Bolton
11,3,Margaret Cho
11,4,The Situation
11,5,Florence Henderson
11,6,Audrina Patridge
11,7,Rick Fox
11,8,Kurt Warner
11,9,Brandy
12,2,Mike Catherwood
12,3,Wendy Williams
12,4,Sugar Ray Leonard
12,5,Petra Nemcova
12,6,Chris Jericho
12,7,Kendra Wilkinson
12,8,Romeo
12,9,Ralph Macchio
13,1,Metta World Peace (Ron)
13,2,Elisabetta Canalis
13,3,Kristin Cavallari
13,4,Chynna Phillips
13,5,Carson Kressley
13,6,Chaz Bono
13,7,David Arquette
13,8,Nancy Grace
13,9,Hope Solo
14,2,Martina Navratilova
14,3,Jack Wagner
